id;nombre;icono_perfil;fecha_nacimiento;estado
1;Infraestructura Inversor;Pa'anga;2021-07-03T10:36:48;SUSPENDED
2;Director;Consultor wireless;2021-07-02T23:32:57;ACTIVE
3;Rústico;Omán;2021-07-03T00:20:30;ACTIVE
4;Raton;deposit;2021-07-03T07:46:30;SUSPENDED
5;Papelería invoice;Castilla-La;2021-07-03T19:14:48;SUSPENDED
6;Cataluña;Riel estructura;2021-07-02T23:22:15;SUSPENDED
7;contexto Librería;hard;2021-07-03T20:37:33;ACTIVE
8;Morado Interacciones;Bricolaje;2021-07-03T15:06:49;ACTIVE
9;productize Jefe;monetize Rojo;2021-07-03T17:02:45;ACTIVE
10;Savings;Web Pelota SMTP;2021-07-03T19:40:32;ACTIVE
